,#,Transaction Date,Owner,Ticker,Asset Name,Asset Type,Type,Amount,Comment,Senator
7439,454,03/03/2014,Self,VAR,"Varian Medical Systems, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7440,453,03/03/2014,Self,SLB,Schlumberger Limited (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7441,452,03/03/2014,Self,SRCL,"Stericycle, Inc. (NASDAQ)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7442,451,03/03/2014,Self,QCOM,QUALCOMM Incorporated (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7443,450,03/03/2014,Self,NOV,"National Oilwell Varco, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7444,449,03/03/2014,Self,MTB,M&T Bank Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7445,448,03/03/2014,Self,LKQ,LKQ Corp. (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7446,447,03/03/2014,Self,GOOGL,Google Inc. (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7447,446,03/03/2014,Self,ESRX,Express Scripts Holding Company (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7448,445,03/03/2014,Self,EMC,EMC Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7449,444,03/03/2014,Self,CTSH,Cognizant Technology Solutions Corporation (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7450,443,03/03/2014,Self,COH,"Coach, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7451,442,03/03/2014,Self,AAPL,Apple Inc. (NASDAQ),,Purchase,"$15,001 - $50,000",--,"Robert P,Corker, Jr."
7452,441,03/03/2014,Self,BRK-B,Berkshire Hathaway Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7453,440,03/03/2014,Self,DDAIF,Daimler AG (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7454,439,03/03/2014,Self,YARIY,Yara International ASA (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7455,438,03/03/2014,Self,WBK,Westpac Banking Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7456,437,03/03/2014,Self,WFC,Wells Fargo & Company (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7457,436,03/03/2014,Self,WM,"Waste Management, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7458,435,03/03/2014,Self,VOD,Vodafone Group Public Limited Company (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7459,434,03/03/2014,Self,MRWSY,Wm. Morrison Supermarkets plc (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7460,433,03/03/2014,Self,VIVHY,Vivendi Soci (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7461,432,03/03/2014,Self,UUGRY,United Utilities Group PLC (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7462,431,03/03/2014,Self,CMI,Cummins Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7463,430,03/03/2014,Self,VCISY,VINCI S.A. (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7464,429,03/03/2014,Self,VZ,Verizon Communications Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7465,428,03/03/2014,Self,TOT,Total SA (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7466,427,03/03/2014,Self,TWX,Time Warner Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7467,426,03/03/2014,Self,TEZNY,TERNA - Rete Elettrica Nazionale Societ (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7468,425,03/03/2014,Self,TLSYY,Telstra Corporation Limited (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7469,424,03/03/2014,Self,NGLS,Targa Resources Partners LP (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7470,423,03/03/2014,Self,TE,"TECO Energy, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7471,422,03/03/2014,Self,SCMWY,Swisscom AG (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7472,421,03/03/2014,Self,SVNLY,Svenska Handelsbanken AB (publ) (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7473,420,03/03/2014,Self,STO,Statoil ASA (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7474,419,03/03/2014,Self,SO,Southern Company (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7475,418,03/03/2014,Self,SJR,"Shaw Communications, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7476,417,03/03/2014,Self,STRNY,SEVERN TRENT PLC (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7477,416,03/03/2014,Self,SNY,Sanofi (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7478,415,03/03/2014,Self,SSEZY,SSE plc (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7479,414,03/03/2014,Self,RDS-A,Royal Dutch Shell plc (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7480,413,03/03/2014,Self,RHHBY,Roche Holding AG (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7481,412,03/03/2014,Self,RCI,Rogers Communications Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7482,411,03/03/2014,Self,RAI,Reynolds American Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7483,410,03/03/2014,Self,RGC,Regal Entertainment Group (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7484,409,03/03/2014,Self,POT,"Potash Corp. of Saskatchewan, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7485,408,03/03/2014,Self,PHI,Philippine Long Distance Telephone Company (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7486,407,03/03/2014,Self,PM,"Philip Morris International, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7487,406,03/03/2014,Self,PEP,"Pepsico, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7488,405,03/03/2014,Self,PSO,Pearson plc (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7489,404,03/03/2014,Self,PPL,PPL Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7490,403,03/03/2014,Self,ORKLY,Orkla ASA (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7491,402,03/03/2014,Self,NVS,Novartis AG (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7492,401,03/03/2014,Self,NSRGY,Nestl (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7493,400,03/03/2014,Self,NGG,National Grid plc (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7494,399,03/03/2014,Self,--,MURGY - MUNICH RE GROUP ADR (Germany),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7495,398,03/03/2014,Self,MCHP,Microchip Technology Inc. (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7496,397,03/03/2014,Self,MSFT,Microsoft Corporation (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7497,396,03/03/2014,Self,MRK,Merck & Co. Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7498,395,03/03/2014,Self,MCD,McDonald's Corp. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7499,394,03/03/2014,Self,MAT,"Mattel, Inc. (NASDAQ)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7500,393,03/03/2014,Self,MWE,"MarkWest Energy Partners, L.P. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7501,392,03/03/2014,Self,LO,"Lorillard, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7502,391,03/03/2014,Self,LMT,Lockheed Martin Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7503,390,03/03/2014,Self,KMP,"Kinder Morgan Energy Partners, L.P. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7504,389,03/03/2014,Self,KMB,Kimberly-Clark Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7505,388,03/03/2014,Self,KLAC,KLA-Tencor Corporation (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7506,387,03/03/2014,Self,JNJ,Johnson & Johnson (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7507,386,03/03/2014,Self,TEG,"Integrys Energy Group, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7508,385,03/03/2014,Self,ITYBY,Imperial Tobacco Group plc (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7509,384,03/03/2014,Self,HON,Honeywell International Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7510,383,03/03/2014,Self,HCN,"Health Care REIT, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7511,382,03/03/2014,Self,GSK,GlaxoSmithKline plc (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7512,381,03/03/2014,Self,AJG,Arthur J Gallagher & Co. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7513,380,03/03/2014,Self,EPD,Enterprise Products Partners L.P. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7514,379,03/03/2014,Self,EMR,Emerson Electric Co. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7515,378,03/03/2014,Self,ECIFY,Electricite de France SA (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7516,377,03/03/2014,Self,DUK,Duke Energy Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7517,376,03/03/2014,Self,DD,E. I. du Pont de Nemours and Company (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7518,375,03/03/2014,Self,DOW,The Dow Chemical Company (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7519,374,03/03/2014,Self,RRD,R.R. Donnelley & Sons Company (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7520,373,03/03/2014,Self,D,"Dominion Resources, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7521,372,03/03/2014,Self,DO,"Diamond Offshore Drilling, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7522,371,03/03/2014,Self,DEO,Diageo plc (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7523,370,03/03/2014,Self,DPSGY,Deutsche Post AG (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7524,369,03/03/2014,Self,DTEGY,Deutsche Telekom AG (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7525,368,03/03/2014,Self,DE,Deere & Company (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7526,367,03/03/2014,Self,CXW,Corrections Corporation of America (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7527,366,03/03/2014,Self,COP,ConocoPhillips (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7528,365,03/03/2014,Self,CMPGY,Compass Group PLC (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7529,364,03/03/2014,Self,CMWAY,Commonwealth Bank of Australia (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7530,363,03/03/2014,Self,CTL,"CenturyLink, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7531,362,03/03/2014,Self,CPYYY,Centrica plc (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7532,361,03/03/2014,Self,CME,CME Group Inc. (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7533,360,03/03/2014,Self,BTI,British American Tobacco plc (AMEX),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7534,359,03/03/2014,Self,BHP,BHP Billiton Limited (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7535,358,03/03/2014,Self,BCE,BCE Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7536,357,03/03/2014,Self,BASFY,BASF SE (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7537,356,03/03/2014,Self,BAESY,BAE Systems plc (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7538,355,03/03/2014,Self,ADP,"Automatic Data Processing, Inc. (NASDAQ)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7539,354,03/03/2014,Self,AZN,AstraZeneca PLC (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7540,353,03/03/2014,Self,AAPL,Apple Inc. (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7541,352,03/03/2014,Self,BUD,Anheuser-Busch InBev SA/NV (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7542,351,03/03/2014,Self,AEE,Ameren Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7543,350,03/03/2014,Self,MO,Altria Group Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7544,349,03/03/2014,Self,ABBV,AbbVie Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7545,348,03/03/2014,Self,T,"AT&T, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7546,347,02/28/2014,Self,SSEZY,SSE plc (OTC Markets),,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7547,346,02/28/2014,Self,NVS,Novartis AG (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7548,345,02/28/2014,Self,AZN,AstraZeneca PLC (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7549,344,02/28/2014,Self,RHHBY,Roche Holding AG (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7550,343,02/28/2014,Self,BTI,British American Tobacco plc (AMEX),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7551,342,02/27/2014,Self,WFC,Wells Fargo & Company (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7552,341,02/27/2014,Self,LKQ,LKQ Corp. (NASDAQ),,Purchase,"$15,001 - $50,000",--,"Robert P,Corker, Jr."
7553,340,02/26/2014,Self,CR,Crane Co. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7554,339,02/25/2014,Self,QEP,"QEP Resources, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7555,338,02/24/2014,Self,SIX,Six Flags Entertainment Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7556,337,02/24/2014,Self,JPM,JPMorgan Chase & Co. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7557,336,02/18/2014,Self,FLS,Flowserve Corp. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7558,335,02/14/2014,Self,A,Agilent Technologies Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7559,334,02/13/2014,Self,CMCSK,Comcast Corporation (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7560,333,02/12/2014,Self,NVS,Novartis AG (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7561,332,02/10/2014,Self,ONNN,ON Semiconductor Corp. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7562,331,02/10/2014,Self,CI,Cigna Corp. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7563,330,02/10/2014,Self,LH,Laboratory Corp. of America Holdings (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7564,329,02/07/2014,Self,GSK,GlaxoSmithKline plc (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7565,328,01/08/2014,Self,--,SLM Corporation - SLM,,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7566,327,02/06/2014,Self,ALL,The Allstate Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7567,326,02/06/2014,Self,GSK,GlaxoSmithKline plc (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7568,325,02/05/2014,Self,AGCO,AGCO Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7569,324,02/03/2014,Self,M,"Macy's, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7570,323,02/03/2014,Self,ACE,ACE Limited (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7571,322,02/03/2014,Self,TRV,"The Travelers Companies, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7572,321,01/31/2014,Self,VR,"Validus Holdings, Ltd. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7573,320,01/31/2014,Self,TSN,"Tyson Foods, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7574,319,01/31/2014,Self,IP,International Paper Company (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7575,318,01/30/2014,Self,IACI,IAC/InterActiveCorp (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7576,317,01/30/2014,Self,DGX,Quest Diagnostics Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7577,316,01/30/2014,Self,C,Citigroup Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7578,315,01/29/2014,Self,V,Visa Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7579,314,01/29/2014,Self,AXP,American Express Company (NYSE),,Sale (Full),"$15,001 - $50,000",--,"Robert P,Corker, Jr."
7580,313,01/29/2014,Self,BRK-B,Berkshire Hathaway Inc. (NYSE),,Purchase,"$15,001 - $50,000",--,"Robert P,Corker, Jr."
7581,312,01/23/2014,Self,RDS-A,Royal Dutch Shell plc (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7582,311,01/17/2014,Self,UNH,UnitedHealth Group Incorporated (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7583,310,01/17/2014,Self,EMC,EMC Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7584,309,01/17/2014,Self,BAC,Bank of America Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7585,308,01/15/2014,Self,APOL,"Apollo Education Group, Inc. (NASDAQ)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7586,307,01/15/2014,Self,TWC,Time Warner Cable Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7587,306,01/15/2014,Self,APOL,"Apollo Education Group, Inc. (NASDAQ)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7588,305,01/10/2014,Self,AXS,AXIS Capital Holdings Limited (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7589,304,01/10/2014,Self,UNH,UnitedHealth Group Incorporated (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7590,303,01/10/2014,Self,OCR,Omnicare Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7591,302,01/10/2014,Self,LEA,Lear Corp. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7592,301,01/10/2014,Self,--,VLO-Valero Energy Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7593,300,01/10/2014,Self,GPN,Global Payments Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7594,299,01/10/2014,Self,BAC,Bank of America Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7595,298,01/10/2014,Self,AGNC,American Capital Agency Corp. (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7596,297,01/08/2014,Self,AVGO,Avago Technologies Limited (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7597,296,01/08/2014,Self,FLEX,Flextronics International Ltd. (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7598,295,01/08/2014,Self,TEL,TE Connectivity Ltd. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7599,294,01/08/2014,Self,STX,Seagate Technology Public Limited Company (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7600,293,01/08/2014,Self,AXS,AXIS Capital Holdings Limited (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7601,292,01/08/2014,Self,DOX,Amdocs Limited (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7602,291,01/08/2014,Self,WDC,Western Digital Corporation (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7603,290,01/08/2014,Self,WR,"Westar Energy, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7604,289,01/08/2014,Self,WCC,WESCO International Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7605,288,01/08/2014,Self,VNTV,"Vantiv, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7606,287,01/08/2014,Self,TSN,"Tyson Foods, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7607,286,01/08/2014,Self,TW,Towers Watson & Co. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7608,285,01/08/2014,Self,TMK,Torchmark Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7609,284,01/08/2014,Self,TRW,TRW Automotive Holdings Corp. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7610,283,01/08/2014,Self,AMTD,TD Ameritrade Holding Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7611,282,01/08/2014,Self,SYMC,Symantec Corporation (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7612,281,01/08/2014,Self,STI,"SunTrust Banks, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7613,280,01/08/2014,Self,STT,State Street Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7614,279,01/08/2014,Self,--,SCHW-The Charles Schwab Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7615,278,01/08/2014,Self,SLG,SL Green Realty Corp. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7616,277,01/08/2014,Self,SEIC,SEI Investments Co. (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7617,276,01/08/2014,Self,RHI,Robert Half International Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7618,275,01/08/2014,Self,RGA,Reinsurance Group of America Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7619,274,01/08/2014,Self,REG,Regency Centers Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7620,273,01/08/2014,Self,PH,Parker-Hannifin Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7621,272,01/08/2014,Self,OI,"Owens-Illinois, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7622,271,01/08/2014,Self,ONNN,ON Semiconductor Corp. (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7623,270,01/08/2014,Self,OMC,Omnicom Group Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7624,269,01/08/2014,Self,OCR,Omnicare Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7625,268,01/08/2014,Self,NBL,"Noble Energy, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7626,267,01/08/2014,Self,NWL,Newell Rubbermaid Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7627,266,01/08/2014,Self,MTX,Minerals Technologies Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7628,265,01/08/2014,Self,MCK,McKesson Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7629,264,01/08/2014,Self,MHFI,"McGraw Hill Financial, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7630,263,01/08/2014,Self,MAS,Masco Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7631,262,01/08/2014,Self,MMC,"Marsh & McLennan Companies, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
7632,261,01/08/2014,Self,--,MAN-ManpowerGroup Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Robert P,Corker, Jr."
